brand,unit,unit_count
,14oz,5
,140gx5,5
,12g,5
,120gx4,5
,12 x 60g,5
,12 x 40g,5
,12 x 39g,5
,12 x 341ml,5
,1100g,5
,10s,5
,10kg,5
,101g,5
,100g x 8,5
,10 x 355ml,5
,10 x 20g,5
,1.8l,5
,1.66l,5
,1.35kg,5
,1 lb Bag,5
,0.95kg,5
,0.55kg,5
,0.34kg,5
,0.175kg,5
,0.12 - 0.24kg,5
,($4.79 per item),5
,($3.29 per item),5
,($1.89 per item),5
,($1.50 per item),5
,$8.55/1kg $3.88/1lb,5
,$8.49 ,5
,$6.81/1kg $3.09/1lb,5
,$6.15/1kg $2.79/1lb,5
,$57.30/1kg $26.00/1lb,5
,$3.90/1kg $1.77/1lb,5
,$20.92/1kg $9.49/1lb,5
,$2.59 ,5
,$19.58/1kg $8.88/1lb,5
,$14.30/1kg $6.49/1lb,5
,$10.34/1kg $4.69/1lb,5
,$1.50/100g,5
,$0.66/100g $6.59/1kg,5
,box,4
,Sold Individually,4
,"Raw, 24pcs",4
,Pack of 3,4
,A tray contains on average 1200g,4
,97g,4
,975g,4
,930g,4
,8oz,4
,870g,4
,860g,4
,808g,4
,8 x 35g,4
,8 x 150ml,4
,8 to 10 per tray,4
,792g,4
,768g,4
,760g,4
,75g x 3,4
,71g,4
,6lbs,4
,678g,4
,660ml,4
,65gx6,4
,648ml,4
,61g,4
,60gx2,4
,6 x 47g,4
,6 x 340ml,4
,6 x 111g,4
,6 x 100g,4
,6 un - 320g,4
,6 chops per tray,4
,593g,4
,588g,4
,565g,4
,55ml x 8,4
,53gx5,4
,535g,4
,528g,4
,51g,4
,516g,4
,5 x 40g,4
,5 x 35g,4
,5 x 200ml,4
,5 per tray,4
,4x100g,4
,469g,4
,45gx8,4
,437.5g,4
,436g,4
,423g,4
,40gx15,4
,408g,4
,400mlx3,4
,400 g - 4 bagels,4
,4.5kg,4
,4 x 75g,4
,4 x 55ml,4
,4 x 52g,4
,4 x 39g,4
,4 x 130ml,4
,4 x 113g,4
,4 slices per tray,4
,4 lb,4
,3un,4
,395g,4
,383ml,4
,374g,4
,365ml,4
,360gx6,4
,351g,4
,34gx10,4
,338g,4
,33.75g,4
,30gx30,4
,309g,4
,3 x 250ml,4
,3 x 135g,4
,3 x 100ml,4
,3 oz,4
,298g,4
,296g,4
,28.3g,4
,25pcs,4
,25gx15,4
,253g,4
,251g,4
,250mlx6packs,4
,24 x 500ml,4
,237ml,4
,234g,4
,230ml,4
,21g,4
,216 per pack,4
,215gx3,4
,20gx10,4
,200gx4,4
,2.2kg,4
,2 steaks per tray,4
,199g,4
,180gx4,4
,172g,4
,171g,4
,164g,4
,162g,4
,160ml,4
,16 x 45g,4
,157g,4
,154g,4
,150mlx5,4
,15 x 222ml,4
,13g,4
,137g,4
,12x38g,4
,123g,4
,12 x 60ml,4
,12 x 284ml,4
,11g,4
,119g,4
,117g,4
,10x38g,4
,107g,4
,10 x 180ml,4
,1.8lbs,4
,1.28kg,4
,1.23l,4
,1.05kg,4
,1 roast per tray,4
,1 chop per tray,4
,0.6kg,4
,0.425kg,4
,0.35kg,4
,0.2kg,4
,($5.79 per item),4
,($2.79 per item),4
,($2.39 per item),4
,($1.39 per item),4
,($1.19 per item),4
,($0.89 per item),4
,$9.24/1kg $4.19/1lb,4
,$88.88 ,4
,$6.69 ,4
,$50.68/1kg $22.99/1lb,4
,$42.99 ,4
,$38.56/1kg $17.50/1lb,4
,$3.48 ,4
,$29.99 ,4
,$28.99 ,4
,$27.98 ,4
,$25.98 ,4
,$23.99 ,4
,$18.99 ,4
,$17.37/1kg $7.88/1lb,4
,$16.98 ,4
,$14.31/1kg $6.49/1lb,4
,$12.98 ,4
,$11.98 ,4
,$11.49 ,4
,$10.52/1kg $4.77/1lb,4
,$1.49 ,4
,$0.88/100g $8.80/1kg,4
,Size 21-25,3
,"Previous price: 
Current price: BX",3
,,
,ON/QC: 190g; BC/AB: 310g,3
,Half,3
,"Cold, 6pcs",3
,"Cold, 650ml",3
,Cold,3
,Around 1 fillet per tray,3
,95gx4,3
,94g,3
,93g,3
,925g,3
,920g,3
,906g,3
,9 x 40g,3
,880g,3
,875g,3
,845g,3
,820g,3
,816g,3
,80g x 4,3
,8 x 56g,3
,77g,3
,774g,3
,765ml,3
,756g,3
,754g,3
,744g,3
,738g,3
,737g,3
,715g,3
,709g,3
,708g,3
,6x70g,3
,6x65g,3
,6x300.0g,3
,6s,3
,684g,3
,681g,3
,641g,3
,638g,3
,628g,3
,615g,3
,612g,3
,60gx8,3
,60gx5,3
,601g,3
,60 per pack,3
,6 x 82g,3
,6 x 75g,3
,6 x 63ml,3
,6 x 57g,3
,6 x 38g,3
,6 x 28g,3
,5gx12,3
,591g,3
,582g,3
,576g,3
,552g,3
,52.5g,3
,50ml,3
,50gx10,3
,504g,3
,500ea,3
,5 x 36g,3
,5 x 15g,3
,5 x 140ml,3
,5 per pack,3
,4x80g,3
,49g,3
,488g,3
,485ml,3
,456 g - 4 bagels,3
,454x454.0g,3
,452g,3
,446g,3
,426g,3
,422g,3
,418g,3
,412g,3
,411g,3
,40ml,3
,40gx12,3
,40 per pack,3
,4.5gx10,3
,4 x 56.75g,3
,4 x 135ml,3
,4 x 106g,3
,4 units per package,3
,3kg,3
,38gx15,3
,378g,3
,376g,3
,369ml,3
,36 per pack,3
,35gx4,3
,35gx12,3
,353g,3
,348ml,3
,345ml,3
,332ml,3
,319g,3
,315ml,3
,313g,3
,30gx4,3
,30gx14pcs,3
,308g,3
,3.78l,3
,3.63kg,3
,3 x 80g,3
,3 x 78g,3
,2x140g,3
,2ea,3
,28gx12,3
,280mlx3,3
,27.5g,3
,27 x 150ml,3
,268g,3
